drug_concept_id,outcome_concept_id,lrt_p,adj_p,group,sig_group,drug_concept,outcome_concept,SOC,Level_4_Des,Level_3_Des,Level_2_Des,Level_1_Des
1332418,37622449,1.02E-157,4.66E-150,adult_children_senior_youth,youth,amlodipine,hypotension,Vascular disorders,"$Renin-inhibitors$HMG CoA reductase inhibitors, other combinations$ACE inhibitors and calcium channel blockers$ACE inhibitors and calcium channel blockers$Beta blocking agents and calcium channel blockers$Angiotensin II receptor blockers (ARBs) and calcium channel blockers$Beta blocking agents and calcium channel blockers$Angiotensin II receptor blockers (ARBs) and calcium channel blockers$Renin-inhibitors$HMG CoA reductase inhibitors, other combinations$Beta blocking agents and calcium channel blockers$Dihydropyridine derivatives$ACE inhibitors, other combinations$Angiotensin II receptor blockers (ARBs) and calcium channel blockers$Angiotensin II receptor blockers (ARBs), other combinations$Calcium channel blockers and diuretics$Angiotensin II receptor blockers (ARBs) and calcium channel blockers$Angiotensin II receptor blockers (ARBs), other combinations$ACE inhibitors, other combinations$HMG CoA reductase inhibitors, other combinations$Angiotensin II receptor blockers (ARBs) and calcium channel blockers$HMG CoA reductase inhibitors, other combinations$Angiotensin II receptor blockers (ARBs), other combinations$Angiotensin II receptor blockers (ARBs) and calcium channel blockers$HMG CoA reductase inhibitors, other combinations$ACE inhibitors and calcium channel blockers","$OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$LIPID MODIFYING AGENTS, COMBINATIONS$ACE INHIBITORS, COMBINATIONS$ACE INHIBITORS, COMBINATIONS$BETA BLOCKING AGENTS, OTHER COMBINATIONS$ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS$BETA BLOCKING AGENTS, OTHER COMBINATIONS$ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS$OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$LIPID MODIFYING AGENTS, COMBINATIONS$BETA BLOCKING AGENTS, OTHER COMBINATIONS$SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS$ACE INHIBITORS, COMBINATIONS$ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS$ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS$CALCIUM CHANNEL BLOCKERS AND DIURETICS$ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS$ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS$ACE INHIBITORS, COMBINATIONS$LIPID MODIFYING AGENTS, COMBINATIONS$ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS$LIPID MODIFYING AGENTS, COMBINATIONS$ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS$ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS$LIPID MODIFYING AGENTS, COMBINATIONS$ACE INHIBITORS, COMBINATIONS",$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$LIPID MODIFYING AGENTS$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$BETA BLOCKING AGENTS$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$BETA BLOCKING AGENTS$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$LIPID MODIFYING AGENTS$BETA BLOCKING AGENTS$CALCIUM CHANNEL BLOCKERS$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$CALCIUM CHANNEL BLOCKERS$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$LIPID MODIFYING AGENTS$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$LIPID MODIFYING AGENTS$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$LIPID MODIFYING AGENTS$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM
1154161,36919235,1.40E-151,6.44E-144,adult_children_senior_youth,children,montelukast,suicidal ideation,Psychiatric disorders,$Leukotriene receptor antagonists$Leukotriene receptor antagonists,$OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES$OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,$DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES$DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,$RESPIRATORY SYSTEM$RESPIRATORY SYSTEM
1437379,35104199,6.81E-148,3.13E-140,adult_senior_youth,adult_senior,thioguanine,haematotoxicity,"Injury, poisoning and procedural complications",0,0,0,0
19010482,35607122,2.84E-147,1.30E-139,adult_children_senior_youth,senior,cyclosporine,eye irritation,Eye disorders,$Calcineurin inhibitors$Other ophthalmologicals,$IMMUNOSUPPRESSANTS$OTHER OPHTHALMOLOGICALS,$IMMUNOSUPPRESSANTS$OPHTHALMOLOGICALS,$ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS$SENSORY ORGANS
1502905,36314160,1.03E-144,4.71E-137,adult_children_senior_youth,children,insulin glargine,blood glucose increased,Investigations,"$Insulins and analogues for injection, long-acting$Insulins and analogues for injection, long-acting",$INSULINS AND ANALOGUES$INSULINS AND ANALOGUES,$DRUGS USED IN DIABETES$DRUGS USED IN DIABETES,$ALIMENTARY TRACT AND METABOLISM$ALIMENTARY TRACT AND METABOLISM
955372,36919230,5.16E-144,2.37E-136,adult_children_senior_youth,senior,ethanol,completed suicide,General disorders and administration site conditions,$Antidotes$Nerve depressants$Other antiseptics and disinfectants,$ALL OTHER THERAPEUTIC PRODUCTS$ALL OTHER THERAPEUTIC PRODUCTS$ANTISEPTICS AND DISINFECTANTS,$ALL OTHER THERAPEUTIC PRODUCTS$ALL OTHER THERAPEUTIC PRODUCTS$ANTISEPTICS AND DISINFECTANTS,$VARIOUS$VARIOUS$DERMATOLOGICALS
715233,36516868,2.49E-142,1.14E-134,adult_children_senior_youth,children_youth,baclofen,muscle spasticity,Nervous system disorders,Other centrally acting agents,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",MUSCLE RELAXANTS,MUSCULO-SKELETAL SYSTEM
781039,37219893,4.98E-137,2.29E-129,adult_children_senior_youth,youth,alprazolam,respiratory arrest,"Respiratory, thoracic and mediastinal disorders",Benzodiazepine derivatives,ANXIOLYTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
1738521,37622518,5.29E-136,2.43E-128,adult_children_senior_youth,youth,doxycycline,haemorrhage,Vascular disorders,$Tetracyclines$Antiinfectives and antiseptics for local oral treatment$Tetracyclines,$TETRACYCLINES$STOMATOLOGICAL PREPARATIONS$TETRACYCLINES,$ANTIBACTERIALS FOR SYSTEMIC USE$STOMATOLOGICAL PREPARATIONS$ANTIBACTERIALS FOR SYSTEMIC USE,$ANTIINFECTIVES FOR SYSTEMIC USE$ALIMENTARY TRACT AND METABOLISM$ANTIINFECTIVES FOR SYSTEMIC USE
1589505,36211582,1.93E-133,8.84E-126,adult_children_youth,adult,levonorgestrel,complication of device removal,General disorders and administration site conditions,"$Progestogens and estrogens, sequential preparations$Emergency contraceptives$Progestogens$Progestogens and estrogens, sequential preparations$Progestogens and estrogens, fixed combinations$Progestogens and estrogens, fixed combinations",$HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE$HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE$HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE$PROGESTOGENS AND ESTROGENS IN COMBINATION$HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE$PROGESTOGENS AND ESTROGENS IN COMBINATION,$SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM$SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM$SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM$SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM$SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM$SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,$GENITO URINARY SYSTEM AND SEX HORMONES$GENITO URINARY SYSTEM AND SEX HORMONES$GENITO URINARY SYSTEM AND SEX HORMONES$GENITO URINARY SYSTEM AND SEX HORMONES$GENITO URINARY SYSTEM AND SEX HORMONES$GENITO URINARY SYSTEM AND SEX HORMONES
40241331,37219871,1.20E-131,5.52E-124,adult_children_senior_youth,youth,rivaroxaban,pulmonary embolism,"$Respiratory, thoracic and mediastinal disorders$Vascular disorders",Direct factor Xa inhibitors,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,BLOOD AND BLOOD FORMING ORGANS
1305058,35104877,1.21E-131,5.53E-124,adult_children_senior_youth,children,methotrexate,febrile neutropenia,General disorders and administration site conditions,$Other immunosuppressants$Folic acid analogues,$IMMUNOSUPPRESSANTS$ANTIMETABOLITES,$IMMUNOSUPPRESSANTS$ANTINEOPLASTIC AGENTS,$ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS$ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
1119119,35809059,1.49E-130,6.84E-123,adult_children_senior_youth,senior,adalimumab,death,General disorders and administration site conditions,Tumor necrosis factor alpha (TNF-a) inhibitors,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
1584910,35809005,1.58E-130,7.25E-123,adult_children_senior_youth,children,somatropin,injection site pain,General disorders and administration site conditions,0,0,0,0
1322184,35205180,5.02E-130,2.31E-122,adult_children_senior_youth,adult,clopidogrel,acute myocardial infarction,Vascular disorders,Platelet aggregation inhibitors excl. heparin,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,BLOOD AND BLOOD FORMING ORGANS
1124957,36919128,8.80E-130,4.04E-122,adult_children_senior_youth,youth,oxycodone,drug dependence,Psychiatric disorders,$Natural opium alkaloids$Natural opium alkaloids$Natural opium alkaloids$Opioids in combination with non-opioid analgesics$Opioids in combination with non-opioid analgesics$Opioids in combination with non-opioid analgesics,$OPIOIDS$OPIOIDS$OPIOIDS$OPIOIDS$OPIOIDS$OPIOIDS,$ANALGESICS$ANALGESICS$ANALGESICS$ANALGESICS$ANALGESICS$ANALGESICS,$NERVOUS SYSTEM$NERVOUS SYSTEM$NERVOUS SYSTEM$NERVOUS SYSTEM$NERVOUS SYSTEM$NERVOUS SYSTEM
19012585,35104199,7.49E-128,3.44E-120,adult_children_senior_youth,adult_senior,asparaginase,haematotoxicity,"Injury, poisoning and procedural complications",0,0,0,0
1351541,35809059,2.50E-127,1.15E-119,adult_children_senior_youth,senior,leuprolide,death,General disorders and administration site conditions,$Gonadotropin releasing hormone analogues$Gonadotropin releasing hormone analogues,$HORMONES AND RELATED AGENTS$HORMONES AND RELATED AGENTS,$ENDOCRINE THERAPY$ENDOCRINE THERAPY,$ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS$ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
40222444,42890501,6.78E-126,3.11E-118,adult_children_senior_youth,children,denosumab,osteonecrosis of jaw,Vascular disorders,Other drugs affecting bone structure and mineralization,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,DRUGS FOR TREATMENT OF BONE DISEASES,MUSCULO-SKELETAL SYSTEM
1177480,36009762,1.99E-125,9.14E-118,adult_children_senior_youth,children,ibuprofen,angioedema,Immune system disorders,"$Antiinflammatory products for vaginal administration$Other cardiac preparations$Propionic acid derivatives$Antiinflammatory preparations, non-steroids for topical use$Other throat preparations$Opioids in combination with non-opioid analgesics$Opioids in combination with non-opioid analgesics$Propionic acid derivatives","$OTHER GYNECOLOGICALS$OTHER CARDIAC PREPARATIONS$ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS$TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN$THROAT PREPARATIONS$OPIOIDS$OPIOIDS$ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",$OTHER GYNECOLOGICALS$CARDIAC THERAPY$ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS$TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN$THROAT PREPARATIONS$ANALGESICS$ANALGESICS$ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,$GENITO URINARY SYSTEM AND SEX HORMONES$CARDIOVASCULAR SYSTEM$MUSCULO-SKELETAL SYSTEM$MUSCULO-SKELETAL SYSTEM$RESPIRATORY SYSTEM$NERVOUS SYSTEM$NERVOUS SYSTEM$MUSCULO-SKELETAL SYSTEM
715233,35809369,1.13E-124,5.19E-117,adult_children_senior_youth,youth,baclofen,drug withdrawal syndrome,General disorders and administration site conditions,Other centrally acting agents,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",MUSCLE RELAXANTS,MUSCULO-SKELETAL SYSTEM
705944,35808822,1.38E-123,6.35E-116,adult_children_senior_youth,children,methylphenidate,application site pruritus,General disorders and administration site conditions,Centrally acting sympathomimetics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
40241331,37622465,2.88E-123,1.32E-115,adult_children_senior_youth,children_youth,rivaroxaban,deep vein thrombosis,Vascular disorders,Direct factor Xa inhibitors,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,BLOOD AND BLOOD FORMING ORGANS
1500211,36617163,7.65E-122,3.51E-114,adult_children_senior_youth,senior,medroxyprogesterone,breast cancer female,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",0,0,0,0
1112807,36009762,9.40E-122,4.31E-114,adult_children_senior_youth,children_youth,aspirin,angioedema,Immune system disorders,0,0,0,0
19010482,35607483,4.41E-121,2.02E-113,adult_children_senior_youth,senior,cyclosporine,vision blurred,Eye disorders,$Calcineurin inhibitors$Other ophthalmologicals,$IMMUNOSUPPRESSANTS$OTHER OPHTHALMOLOGICALS,$IMMUNOSUPPRESSANTS$OPHTHALMOLOGICALS,$ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS$SENSORY ORGANS
