drug_concept_id,outcome_concept_id,drug_concept,outcome_concept,group,sig_group,lrt_p,adj_p
1308290,36110419,vincristine,pneumocystis jiroveci pneumonia,adult_children_senior_youth,adult,2.40E-24,1.10E-16
1338512,42890655,doxorubicin,psychological trauma,adult_senior,adult,3.84E-24,1.76E-16
1332418,35205164,amlodipine,coronary artery disease,adult_senior_youth,adult,5.45E-24,2.50E-16
43526465,36110466,canagliflozin,osteomyelitis,adult_children_senior,adult,7.90E-24,3.63E-16
1307046,35205181,metoprolol,angina pectoris,adult_children_senior,adult,9.04E-24,4.15E-16
735979,35506622,risperidone,type 2 diabetes mellitus,adult_children_senior_youth,adult,1.02E-23,4.67E-16
967823,35708663,sodium chloride,peritonitis,adult_children_senior_youth,adult,1.10E-23,5.03E-16
1112807,36718382,aspirin,skin burning sensation,adult_children_senior_youth,adult,1.37E-23,6.31E-16
1119119,37119745,adalimumab,vaginal haemorrhage,adult_children_senior_youth,adult,5.74E-23,2.63E-15
703547,35506609,trazodone,diabetes mellitus,adult_children_senior_youth,adult,8.30E-23,3.81E-15
1149380,43053848,fluticasone,drug effect incomplete,adult_children_senior_youth,adult,1.51E-22,6.91E-15
1310317,37320313,cyclophosphamide,hair texture abnormal,adult_senior,adult,1.75E-22,8.03E-15
1119119,35809243,adalimumab,pain,adult_children_senior_youth,adult,2.36E-22,1.08E-14
1322184,35205190,clopidogrel,myocardial ischaemia,adult_senior,adult,1.45E-21,6.65E-14
1307046,37522318,metoprolol,coronary artery bypass,adult_children_senior,adult,1.49E-21,6.84E-14
735979,35506494,risperidone,diabetic ketoacidosis,adult_children_senior_youth,adult,1.63E-21,7.49E-14
40222444,35809120,denosumab,disease progression,adult_children_senior_youth,adult,1.81E-21,8.30E-14
1112807,35809086,aspirin,feeling hot,adult_children_senior_youth,adult,2.13E-21,9.80E-14
19035704,36416551,calcium carbonate,osteoporosis,adult_children_senior_youth,adult,2.25E-21,1.03E-13
1338512,36918858,doxorubicin,anxiety,adult_children_senior_youth,adult,2.64E-21,1.21E-13
1133201,35808822,buprenorphine,application site pruritus,adult_children_senior_youth,adult,2.83E-21,1.30E-13
1589505,35406392,levonorgestrel,vertigo,adult_children_senior_youth,adult,3.46E-21,1.59E-13
40222444,35104883,denosumab,neutropenia,adult_children_senior,adult,6.57E-21,3.01E-13
1305058,36009700,methotrexate,asthma,adult_children_senior_youth,adult,1.85E-20,8.49E-13
766814,36718500,quetiapine,neuropathy peripheral,adult_children_senior_youth,adult,3.68E-20,1.69E-12
1125315,36315381,acetaminophen,weight increased,adult_children_senior_youth,adult,3.93E-20,1.80E-12
1503297,35809005,metformin,injection site pain,adult_children_senior_youth,adult,5.04E-20,2.31E-12
766529,35506609,haloperidol,diabetes mellitus,adult_children_senior_youth,adult,6.52E-20,2.99E-12
1551860,35205189,pravastatin,myocardial infarction,adult_children_senior_youth,adult,6.81E-20,3.13E-12
45775396,36617295,nintedanib,malignant neoplasm progression,adult_children_senior,adult,9.63E-20,4.42E-12
1119119,36516828,adalimumab,psoriatic arthropathy,adult_children_senior_youth,adult,1.03E-19,4.74E-12
45776944,35809120,idelalisib,disease progression,adult_senior_youth,adult,1.26E-19,5.78E-12
1551860,35205164,pravastatin,coronary artery disease,adult_senior_youth,adult,1.56E-19,7.16E-12
735979,35506610,risperidone,diabetes mellitus inadequate control,adult_children_senior_youth,adult,2.09E-19,9.58E-12
766814,36416638,quetiapine,hyperlipidaemia,adult_children_senior_youth,adult,3.00E-19,1.38E-11
1305058,35809323,methotrexate,drug effect decreased,adult_children_senior_youth,adult,9.35E-19,4.29E-11
1322184,35205172,clopidogrel,coronary artery stenosis,adult_children_senior,adult,9.57E-19,4.39E-11
19026972,35104669,lenalidomide,plasmacytoma,adult_children_senior,adult,9.99E-19,4.59E-11
734275,36919230,phenobarbital,completed suicide,adult_senior_youth,adult,1.05E-18,4.81E-11
40222444,36517076,denosumab,metastases to bone,adult_children_senior,adult,1.06E-18,4.84E-11
1305058,36918942,methotrexate,depression,adult_children_senior_youth,adult,1.19E-18,5.45E-11
1326303,36416610,digoxin,fluid retention,adult_children_senior_youth,adult,1.73E-18,7.92E-11
1331235,35205189,quinapril,myocardial infarction,adult_senior,adult,1.91E-18,8.76E-11
40241331,37219874,rivaroxaban,pulmonary thrombosis,adult_children_senior,adult,1.94E-18,8.90E-11
735979,36416680,risperidone,metabolic disorder,adult_children_senior_youth,adult,3.15E-18,1.45E-10
1310317,37320310,cyclophosphamide,hair colour changes,adult_senior,adult,4.19E-18,1.92E-10
1524674,36517076,zoledronic acid,metastases to bone,adult_children_senior_youth,adult,5.16E-18,2.37E-10
1308290,35104405,vincristine,hodgkin's disease,adult_children_senior_youth,adult,5.50E-18,2.52E-10
1547504,35205182,rosiglitazone,angina unstable,adult_senior,adult,7.19E-18,3.30E-10
1526475,35205189,ezetimibe,myocardial infarction,adult_children_senior_youth,adult,8.29E-18,3.81E-10
1112807,35205172,aspirin,coronary artery stenosis,adult_children_senior_youth,adult,9.83E-18,4.51E-10
1309944,35809170,amiodarone,unevaluable event,adult_children_senior_youth,adult,1.01E-17,4.62E-10
1326303,35205189,digoxin,myocardial infarction,adult_children_senior_youth,adult,1.11E-17,5.10E-10
1310317,35606938,cyclophosphamide,madarosis,adult_senior,adult,1.53E-17,7.00E-10
43526465,37520692,canagliflozin,toe amputation,adult_children_senior,adult,1.59E-17,7.28E-10
1307046,35205182,metoprolol,angina unstable,adult_senior,adult,1.68E-17,7.71E-10
1328165,35205189,diltiazem,myocardial infarction,adult_children_senior,adult,1.79E-17,8.22E-10
1589505,37320285,levonorgestrel,hypertrichosis,adult_youth,adult,2.42E-17,1.11E-09
19080458,37019416,eculizumab,chromaturia,adult_children_senior_youth,adult,2.65E-17,1.22E-09
1589505,35205034,levonorgestrel,palpitations,adult_children_youth,adult,3.61E-17,1.66E-09
956874,37522318,furosemide,coronary artery bypass,adult_children_senior,adult,3.82E-17,1.75E-09
1177480,36315381,ibuprofen,weight increased,adult_children_senior_youth,adult,4.33E-17,1.99E-09
1338512,37320313,doxorubicin,hair texture abnormal,adult_senior,adult,4.47E-17,2.05E-09
1547504,35205185,rosiglitazone,chest pain,adult_children_senior_youth,adult,5.69E-17,2.61E-09
19015523,35809120,bendamustine,disease progression,adult_children_senior_youth,adult,5.89E-17,2.70E-09
1521987,36516761,teriparatide,bone pain,adult_senior_youth,adult,6.19E-17,2.84E-09
1112807,37320197,aspirin,pruritus,adult_children_senior_youth,adult,1.02E-16,4.70E-09
1521987,35809005,teriparatide,injection site pain,adult_senior_youth,adult,1.03E-16,4.71E-09
1341927,35205189,enalapril,myocardial infarction,adult_children_senior_youth,adult,1.11E-16,5.08E-09
1308216,35205164,lisinopril,coronary artery disease,adult_children_senior_youth,adult,1.30E-16,5.97E-09
19012585,35909625,asparaginase,hepatotoxicity,adult_children_senior_youth,adult,1.36E-16,6.26E-09
1539403,35809086,simvastatin,feeling hot,adult_children_senior,adult,1.80E-16,8.26E-09
1524674,35909682,zoledronic acid,metastases to liver,adult_senior,adult,2.93E-16,1.35E-08
1154029,36918942,fentanyl,depression,adult_children_senior_youth,adult,4.23E-16,1.94E-08
1326303,36516765,digoxin,pain in jaw,adult_children_senior_youth,adult,4.35E-16,0.00000002
1503297,35205164,metformin,coronary artery disease,adult_children_senior_youth,adult,4.83E-16,2.22E-08
19026972,43053717,lenalidomide,plasma cell myeloma recurrent,adult_senior,adult,4.87E-16,2.23E-08
1305058,35809005,methotrexate,injection site pain,adult_children_senior_youth,adult,4.89E-16,2.25E-08
1344905,37320313,carboplatin,hair texture abnormal,adult_senior_youth,adult,7.24E-16,3.32E-08
798874,36718132,clonazepam,headache,adult_children_senior_youth,adult,8.77E-16,4.03E-08
1344905,36919046,carboplatin,emotional distress,adult_senior_youth,adult,1.06E-15,4.88E-08
19051649,37320268,doxorubicin liposome,alopecia,adult_children_senior,adult,1.46E-15,6.72E-08
1557272,36516824,alendronate,osteoarthritis,adult_children_senior_youth,adult,1.49E-15,6.82E-08
1315942,36919046,docetaxel,emotional distress,adult_senior_youth,adult,1.96E-15,8.99E-08
1501700,36516837,levothyroxine,myalgia,adult_children_senior_youth,adult,2.05E-15,9.39E-08
1305058,36516973,methotrexate,musculoskeletal stiffness,adult_children_senior_youth,adult,2.25E-15,0.000000103
1524674,36718404,zoledronic acid,palmar-plantar erythrodysaesthesia syndrome,adult_senior_youth,adult,2.35E-15,0.000000108
1305058,36110933,methotrexate,influenza,adult_children_senior_youth,adult,3.12E-15,0.000000143
1326303,35205164,digoxin,coronary artery disease,adult_children_senior,adult,3.15E-15,0.000000144
1597756,35205189,glimepiride,myocardial infarction,adult_children_senior,adult,3.35E-15,0.000000154
1154161,36312077,montelukast,blood pressure increased,adult_children_senior_youth,adult,3.65E-15,0.000000168
1305058,36718555,methotrexate,insomnia,adult_children_senior_youth,adult,5.53E-15,0.000000254
1797513,36517150,ciprofloxacin,tendon pain,adult_children_senior_youth,adult,6.02E-15,0.000000276
1151789,36516973,etanercept,musculoskeletal stiffness,adult_children_senior_youth,adult,7.44E-15,0.000000341
46287466,35809138,evolocumab,influenza like illness,adult_children_senior,adult,7.97E-15,0.000000366
1334456,36312077,ramipril,blood pressure increased,adult_children_senior_youth,adult,8.55E-15,0.000000393
1346823,35205164,carvedilol,coronary artery disease,adult_children_senior_youth,adult,9.38E-15,0.00000043
1539403,37320158,simvastatin,erythema,adult_children_senior_youth,adult,1.29E-14,0.000000594
19137385,35104691,thiotepa,thrombocytopenia,adult_children_senior_youth,adult,1.31E-14,0.000000601
1338512,37320310,doxorubicin,hair colour changes,adult_senior,adult,1.50E-14,0.000000689
1549080,36617166,conjugated estrogens,breast cancer metastatic,adult_children_senior,adult,1.74E-14,0.0000008
1589505,36919194,levonorgestrel,libido decreased,adult_youth,adult,1.85E-14,0.000000849
1539403,36313976,simvastatin,quality of life decreased,adult_senior,adult,1.99E-14,0.000000911
1307046,35205168,metoprolol,coronary artery occlusion,adult_senior,adult,2.42E-14,0.00000111
742185,37119688,atomoxetine,testicular pain,adult_children_senior_youth,adult,2.90E-14,0.00000133
1332418,36718555,amlodipine,insomnia,adult_children_senior_youth,adult,3.06E-14,0.0000014
1350504,36110419,etoposide,pneumocystis jiroveci pneumonia,adult_children_senior_youth,adult,3.29E-14,0.00000151
735979,35506621,risperidone,type 1 diabetes mellitus,adult_children_senior_youth,adult,4.40E-14,0.00000202
19088167,36313371,ambroxol,lymphocyte count decreased,adult_children_senior_youth,adult,4.75E-14,0.00000218
1545958,35205182,atorvastatin,angina unstable,adult_senior,adult,5.35E-14,0.00000246
766814,36918942,quetiapine,depression,adult_children_senior_youth,adult,5.91E-14,0.00000271
1305058,37320268,methotrexate,alopecia,adult_children_senior_youth,adult,6.60E-14,0.00000303
1307046,37522317,metoprolol,coronary arterial stent insertion,adult_senior,adult,8.40E-14,0.00000386
1336926,36919194,tadalafil,libido decreased,adult_senior_youth,adult,9.08E-14,0.00000417
1314002,35205164,atenolol,coronary artery disease,adult_children_senior_youth,adult,1.10E-13,0.00000503
1305058,37220008,methotrexate,nasal congestion,adult_children_senior_youth,adult,1.12E-13,0.00000516
1305058,36110708,methotrexate,sinusitis,adult_children_senior_youth,adult,1.27E-13,0.00000581
1589505,36718171,levonorgestrel,amnesia,adult_youth,adult,1.39E-13,0.00000639
1344905,37320310,carboplatin,hair colour changes,adult_senior_youth,adult,1.41E-13,0.00000648
1361711,37522317,glyceryl trinitrate,coronary arterial stent insertion,adult_senior,adult,1.43E-13,0.00000654
40222444,35909682,denosumab,metastases to liver,adult_children_senior_youth,adult,1.61E-13,0.00000737
1715117,37521795,aztreonam,lung transplant,adult_children_senior_youth,adult,1.71E-13,0.00000784
1315942,37320313,docetaxel,hair texture abnormal,adult_senior_youth,adult,3.19E-13,0.0000146
705103,36918942,lamotrigine,depression,adult_children_senior_youth,adult,3.32E-13,0.0000153
1305058,35708164,methotrexate,abdominal discomfort,adult_children_senior_youth,adult,3.39E-13,0.0000156
40241331,37219867,rivaroxaban,pulmonary arterial hypertension,adult_senior_youth,adult,4.53E-13,0.0000208
1636780,35205189,testosterone,myocardial infarction,adult_senior,adult,4.92E-13,0.0000226
723013,36918942,diazepam,depression,adult_children_senior_youth,adult,6.19E-13,0.0000284
1177480,35809005,ibuprofen,injection site pain,adult_children_senior_youth,adult,6.57E-13,0.0000302
1149380,42890333,fluticasone,upper-airway cough syndrome,adult_children_senior_youth,adult,9.98E-13,0.0000458
40222444,36617245,denosumab,metastasis,adult_children_senior_youth,adult,1.06E-12,0.0000487
1539403,36718382,simvastatin,skin burning sensation,adult_senior_youth,adult,1.15E-12,0.0000529
1336926,36919209,tadalafil,sleep disorder,adult_children_senior_youth,adult,1.18E-12,0.0000543
1545958,36718500,atorvastatin,neuropathy peripheral,adult_children_senior_youth,adult,1.23E-12,0.0000567
1125315,35809005,acetaminophen,injection site pain,adult_children_senior_youth,adult,2.18E-12,0.00010029
942350,37219867,torasemide,pulmonary arterial hypertension,adult_senior_youth,adult,2.36E-12,0.000108336
1119119,36516973,adalimumab,musculoskeletal stiffness,adult_children_senior_youth,adult,2.52E-12,0.000115864
985247,36416551,aluminium hydroxide,osteoporosis,adult_senior,adult,2.54E-12,0.000116667
1332418,35708063,amlodipine,crohn's disease,adult_children_senior_youth,adult,2.90E-12,0.000133297
956874,35909517,furosemide,hepatic encephalopathy,adult_children_senior,adult,2.99E-12,0.000137252
956874,36919235,furosemide,suicidal ideation,adult_children_senior_youth,adult,3.71E-12,0.000170435
1309944,35205164,amiodarone,coronary artery disease,adult_children_senior_youth,adult,4.32E-12,0.000198396
939259,36312077,budesonide,blood pressure increased,adult_children_senior_youth,adult,4.52E-12,0.000207466
1510813,36718132,rosuvastatin,headache,adult_children_senior_youth,adult,4.61E-12,0.000211691
1350504,37219871,etoposide,pulmonary embolism,adult_children_senior_youth,adult,5.84E-12,0.000267938
1636780,37622465,testosterone,deep vein thrombosis,adult_senior_youth,adult,6.61E-12,0.000303414
757688,36314073,aripiprazole,blood triglycerides increased,adult_children_senior_youth,adult,6.61E-12,0.000303617
1742253,36516957,levofloxacin,musculoskeletal pain,adult_children_senior_youth,adult,8.92E-12,0.000409349
1539403,36919048,simvastatin,frustration,adult_senior,adult,9.16E-12,0.000420244
904453,36516728,esomeprazole,bone disorder,adult_children_senior_youth,adult,1.01E-11,0.000463722
904453,36516779,esomeprazole,arthritis,adult_senior_youth,adult,1.45E-11,0.000663609
722031,35506609,paroxetine,diabetes mellitus,adult_children_senior_youth,adult,1.78E-11,0.000818409
1315942,37320310,docetaxel,hair colour changes,adult_senior_youth,adult,2.04E-11,0.000935666
1589505,36919209,levonorgestrel,sleep disorder,adult_youth,adult,2.05E-11,0.000939044
1545958,35205189,atorvastatin,myocardial infarction,adult_children_senior_youth,adult_children,7.66E-82,3.52E-74
40228152,37219871,dabigatran etexilate,pulmonary embolism,adult_children_senior_youth,adult_children,1.64E-27,7.53E-20
40228152,37622465,dabigatran etexilate,deep vein thrombosis,adult_children_senior_youth,adult_children,1.66E-24,7.61E-17
40228152,35204987,dabigatran etexilate,atrial thrombosis,adult_children_senior,adult_children,9.48E-22,4.35E-14
40228152,37622460,dabigatran etexilate,thrombosis,adult_children_senior_youth,adult_children,1.45E-18,6.66E-11
766814,36416534,quetiapine,obesity,adult_children_senior_youth,adult_children,2.18E-14,0.000001
1112807,35205173,aspirin,coronary artery thrombosis,adult_children_senior_youth,adult_children,1.34E-11,0.000613088
1437379,35104199,thioguanine,haematotoxicity,adult_senior_youth,adult_senior,6.81E-148,3.13E-140
19012585,35104199,asparaginase,haematotoxicity,adult_children_senior_youth,adult_senior,7.49E-128,3.44E-120
964407,42889647,salicylic acid,toxicity to various agents,adult_children_senior_youth,adult_senior,2.77E-109,1.27E-101
1151789,35809243,etanercept,pain,adult_children_senior_youth,adult_senior,1.13E-100,5.18E-93
1151789,36516812,etanercept,arthralgia,adult_children_senior_youth,adult_senior,6.73E-45,3.09E-37
715233,36718111,baclofen,multiple sclerosis,adult_children_senior_youth,adult_senior,1.20E-37,5.53E-30
735979,35506636,risperidone,hypoglycaemia,adult_children_senior_youth,adult_senior,1.10E-32,5.06E-25
964407,36211183,salicylic acid,poisoning,adult_children_senior_youth,adult_senior,8.35E-25,3.83E-17
1154161,37622529,montelukast,hypertension,adult_children_senior_youth,adult_senior,7.68E-24,3.53E-16
1308290,35104868,vincristine,leukopenia,adult_children_senior_youth,adult_senior,4.83E-23,2.22E-15
1518254,35205038,dexamethasone,dyspnoea,adult_children_senior_youth,adult_senior,9.68E-19,4.44E-11
800878,36313437,clozapine,neutrophil count increased,adult_children_senior_youth,adult_senior,9.21E-18,4.23E-10
1119119,36516907,adalimumab,intervertebral disc protrusion,adult_children_senior_youth,adult_senior,1.65E-17,7.60E-10
1584910,35506682,somatropin,pituitary tumour benign,adult_children_senior_youth,adult_senior,7.26E-17,3.33E-09
1327256,35205232,treprostinil,fluid overload,adult_children_senior_youth,adult_senior,8.80E-17,4.04E-09
723013,35809243,diazepam,pain,adult_children_senior_youth,adult_senior,1.89E-15,8.66E-08
1103640,36918858,methadone,anxiety,adult_senior_youth,adult_senior,5.37E-15,0.000000247
742267,36718132,topiramate,headache,adult_children_senior_youth,adult_senior,1.17E-13,0.00000538
1103640,36918942,methadone,depression,adult_senior_youth,adult_senior,1.68E-13,0.00000769
1305058,35227885,methotrexate,peripheral swelling,adult_children_senior_youth,adult_senior,4.91E-12,0.000225349
1151789,37320205,etanercept,psoriasis,adult_children_senior_youth,adult_youth,1.27E-115,5.83E-108
1361711,35205189,glyceryl trinitrate,myocardial infarction,adult_children_senior_youth,adult_youth,2.47E-93,1.14E-85
1311799,35104199,daunorubicin,haematotoxicity,adult_children_senior_youth,adult_youth,1.46E-76,6.72E-69
